year,player,team,price_cr,pred_war,actual_war,shortfall,wasted_cr,wasted_median,wasted_ci_low,wasted_ci_high,pct_wasted
2016,Rajagopal Sathish,KKR,0.2,2.9056916,-0.4101742802148529,3.3158658802148526,0.2,0.2,0.0,0.2,100.0
2016,Pravin Tambe,GL,0.2,-0.25187615,-1.2760355164548711,1.0241593664548712,0.2,0.2,0.0,0.2,100.0
2016,Pradeep Sangwan,GL,0.2,1.0524747,-1.2096441636182242,2.262118863618224,0.2,0.2,0.0,0.2,100.0
2018,Ankit Sharma,RR,0.2,1.8976883,-0.1507217337967695,2.0484100337967694,0.2,0.2,0.0,0.2,100.0
2016,Shadab Jakati,GL,0.2,0.43177453,-0.0534088809612584,0.4851834109612584,0.2,0.2,0.0,0.2,100.0
2022,Karan Sharma,LSG,0.2,0.255511,0.0008474576271185,0.25466354237288147,0.2,0.0,0.0,0.2,100.0
2022,Anukul Roy,KKR,0.2,1.716673,0.6492060442875188,1.0674669557124812,0.2,0.2,0.0,0.2,100.0
2022,Anmolpreet Singh,MI,0.2,3.476607,0.0027542372881354,3.4738527627118647,0.2,0.2,0.0,0.2,100.0
2022,Aman Khan,KKR,0.2,5.090846,3.951199347816416,1.139646652183584,0.2,0.2,0.0,0.2,100.0
2014,C M Gautam,MI,0.2,0.65928066,0.2041272902603665,0.4551533697396335,0.2,0.2,0.0,0.2,100.0
2014,Shadab Jakati,RCB,0.2,1.3841308,-0.829427109974425,2.2135579099744254,0.2,0.2,0.0,0.2,100.0
2014,Vikramjeet Malik,RR,0.2,5.3644605,-0.1805155758668405,5.54497607586684,0.2,0.2,0.0,0.2,100.0
2014,Srikkanth Anirudha,SRH,0.2,3.7212975,-0.2127531340405014,3.9340506340405015,0.2,0.2,0.0,0.2,100.0
2018,Benjamin Stokes,RR,12.5,7.452905,7.282449639495072,0.1704553605049286,0.17294787877724543,0.0,0.0,12.5,1.0
