Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Overpaid (Cr),Premium %,Next WAR,Shortfall,Dud Score
62,Dinesh Karthik,2011,DC,8.309760956175298,6.8752640845070445,5.379474452626048,2.93028650354925,54.471612968043736,1.958139534883717,4.917124549623328,74.34554973821989
63,Virat Kohli,2014,RCB,20.054517133956384,24.05627866972477,17.422611779295693,2.6319053546606916,15.106261839504102,10.251777199198026,13.804501470526743,71.72774869109948
64,Mayank Agarwal,2022,PBK,13.219251336898397,13.740146878824971,10.615597881529224,2.603653455369173,24.526677483700098,3.80859375,9.931553128824971,71.72774869109948
65,Praveen Kumar,2011,RCB,7.386454183266932,4.466021126760559,4.791693661521115,2.594760521745817,54.15121885989087,14.329228020694964,-9.863206893934406,42.67015706806283
66,Zaheer Khan,2011,MI,8.309760956175298,8.199862455985908,5.732811610405005,2.576949345770293,44.95088136322414,6.090351778163926,2.109510677821982,66.2303664921466
67,R P Singh,2012,MI,5.618181818181819,8.227799443749328,3.099190724342955,2.518991093838864,81.27899564402908,1.4423076923076863,6.785491751441642,80.6282722513089
68,Ravindra Jadeja,2011,KTK,8.771414342629482,10.412526732316412,6.375559938398486,2.395854404230996,37.57872919994576,7.631980436464989,2.7805462958514227,66.49214659685865
69,Andre Russell,2018,KKR,11.542518127883982,10.803891933132457,9.219375382135002,2.3231427457489797,25.198483080000063,25.797448034842084,-14.993556101709627,31.67539267015707
70,Shivam Dube,2021,RR,4.700513405590416,2.786548018144007,2.386477581207887,2.3140358243825294,96.96449036874287,9.571703083424886,-6.785155065280879,52.87958115183246
71,Jos Buttler,2022,RR,11.016042780748663,9.652532129742962,8.7234244093219,2.2926183714267623,26.281174271159585,8.2578125,1.394719629742962,59.42408376963351
72,Jason Holder,2022,LSG,9.63903743315508,6.086022268864099,7.350188796986226,2.2888486361688543,31.13999788831742,-0.511677631578948,6.597699900443047,70.15706806282722
73,Abhishek Sharma,2022,SRH,7.160427807486631,5.142789663316494,4.94999488802404,2.2104329194625905,44.655256610678244,4.969011662679426,0.17377800063706772,60.20942408376963
74,Piyush Chawla,2011,PBK,8.309760956175298,9.502728873239436,6.102983797649757,2.206777158525541,36.15898766395816,9.888588724868988,-0.3858598516295526,57.329842931937165
75,Shikhar Dhawan,2022,PBK,9.088235294117647,12.064106487148102,6.901860400097027,2.18637489402062,31.678051529264252,9.02734375,3.036762737148102,66.49214659685865
76,Rahul Tripathi,2022,SRH,9.363636363636363,13.221656976744184,7.296419398702783,2.0672169649335803,28.331937241725814,4.45703125,8.764625726744184,72.25130890052355
77,Trent Boult,2022,RR,8.81283422459893,4.370690575521665,6.7689444519446775,2.0438897726542526,30.19510334535328,8.0823302930622,-3.7116397175405345,47.90575916230367
78,Sanju Samson,2014,RR,8.82398753894081,4.536515672782876,6.823067196730892,2.000920342209917,29.325819085712794,2.950843253968255,1.585672418814621,61.2565445026178
79,Shane Watson,2011,RR,12.002988047808765,12.531574603873237,10.016976463368708,1.9860115844400568,19.826457531399264,14.750943768274553,-2.219369164401316,47.64397905759162
80,Yuzvendra Chahal,2022,RR,7.160427807486631,7.11557310509322,5.441919293373027,1.718508514113604,31.57908858013278,12.207595693779908,-5.092022588686688,46.33507853403141
81,Umesh Yadav,2011,DC,6.463147410358565,4.354885563380279,4.766186524423952,1.6969608859346135,35.60416440352617,9.539268420957807,-5.184382857577528,46.8586387434555
82,Sachin Tendulkar,2011,MI,16.619521912350596,20.92460387323944,14.98974785920752,1.629774053143075,10.872591510216624,2.4622923588039853,18.462311514435456,74.34554973821989
