First Name,Surname,Reserve Price (Rs. Lakh),Country,Age,Role ,Test caps,ODI caps,T20 caps,IPL,Previous IPL Team(s),2022 Team,IPL 2022 Appearances,C/U/A
S.,Manigandan ,20,India,26,BOWLER,,,,,,,,Uncapped
M.,Mohammed,20,India,31,ALL-ROUNDER,,,,,,,,Uncapped
Trilok,Nag,20,India,22,BOWLER,,,,,,,,Uncapped
Manav,Parakh,20,India,19,ALL-ROUNDER,,,,,,,,Uncapped
Pradosh,Paul,20,India,22,BATSMAN,,,,,,,,Uncapped
G.,Periyasamy,20,India,29,BOWLER,,,,,,,,Uncapped
Vidyuth,Ponnapati,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Mohan,Prasath,20,India,24,BOWLER,,,,,,,,Uncapped
Sundararaman,Radhakrishnan,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Tushar,Raheja,20,India,22,WICKETKEEPER,,,,,,,,Uncapped
Vimal,Ramachandran,20,India,20,BATSMAN,,,,,,,,Uncapped
Kavin,Ravi,20,India,26,WICKETKEEPER,,,,,,,,Uncapped
M.S.,Sanjay,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
P.,Saravana Kumar,20,India,33,ALL-ROUNDER,,,,,,,,Uncapped
M.,Silambarasan,20,India,24,BOWLER,,,,,,,,Uncapped
R.,Silambarasan,20,India,30,BOWLER,,,,,,,,Uncapped
Nikhilesh,Sobanbabu,20,India,21,ALL-ROUNDER,,,,,,,,Uncapped
Aravind,Suresh,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
B.,Surya,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
L.,Suryapprakash,20,India,33,BATSMAN,,,,,,,,Uncapped
Abhishek,Tanwar,20,India,33,ALL-ROUNDER,,,,,,,,Uncapped
K.Gowtham,Thamarai Kannan,20,India,29,BOWLER,,,,,,,,Uncapped
L.,Vignesh,20,India,34,BOWLER,,,,,,,,Uncapped
Sonu,Yadav,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Valliappan,Yudheeswaran,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Sameer,Choudhary,20,India,23,WICKETKEEPER,,,,,,,,Uncapped
Abhishek ,Goswami,20,India,25,BATSMAN,,,,,,,,Uncapped
Divyansh,Joshi,20,India,21,ALL-ROUNDER,,,,,,,,Uncapped
Madhav,Kaushik,20,India,25,BATSMAN,,,,,,,,Uncapped
Aaqib,Khan,20,India,19,BOWLER,,,,,,,,Uncapped
Saurabh,Kumar,20,India,29,ALL-ROUNDER,,,,,,,,Uncapped
Sameer,Rizvi,20,India,19,ALL-ROUNDER,,,,,,,,Uncapped
Shivam ,Sharma ,20,India,27,BOWLER,,,,,,,,Uncapped
Hardeep,Singh,20,India,27,BATSMAN,,,,,,,,Uncapped
Yashovardhan,Singh,20,India,20,WICKETKEEPER,,,,,,,,Uncapped
Sandeep Kumar,Tomar,20,India,24,WICKETKEEPER,,,,,,,,Uncapped
Purnank,Tyagi,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Vasu,Vats,20,India,20,BOWLER,,,,,,,,Uncapped
Boby,Yadav,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Prince,Yadav,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Siddharth,Yadav,20,India,19,BATSMAN,,,,,,,,Uncapped
Mohd,Ashad,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Yuvraj,Chaudhary,20,India,21,ALL-ROUNDER,,,,,,,,Uncapped
Jatin,Chhikara,20,India,23,BOWLER,,,,,,,,Uncapped
Anirudh ,Kanwar,20,India,29,BOWLER,,,,,,,,Uncapped
Mohd Arslan,Khan,20,India,23,WICKETKEEPER,,,,,,,,Uncapped
Varun,Khanna,20,India,38,BOWLER,,,,,,,,Uncapped
Varun,Kumar,20,India,25,BOWLER,,,,,,,,Uncapped
Bhagmender,Lather,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Amrit,Lubana,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Nippun,Pandita,20,India,24,BOWLER,,,,,,,,Uncapped
Harnoor,Pannu,20,India,20,BATSMAN,,,,,,,,Uncapped
Gaurav,Puri,20,India,31,BATSMAN,,,,,,,,Uncapped
Abhishek,Saini,20,India,24,BOWLER,,,,,,,,Uncapped
Nikhil,Sharma,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Harmanpreet,Singh,40,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Jagjit,Singh,20,India,26,BOWLER,,,,,,,,Uncapped
Siddhant,Singhal,20,India,19,ALL-ROUNDER,,,,,,,,Uncapped
Parmesh,Vaidik,20,India,34,BOWLER,,,,,,,,Uncapped
Nachiket ,Bhute ,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Saurabh,Dubey,20,India,25,BOWLER,,,,,,,,Uncapped
Harsh,Dubey,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Rajneesh,Gurbani,20,India,30,ALL-ROUNDER,,,,,,,,Uncapped
Shubham,Kapse,20,India,28,BOWLER,,,,,,,,Uncapped
Akshay,Karnewar,20,India,30,ALL-ROUNDER,,,,,,,,Uncapped
Aman,Mokhade,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Aditya,Sarvate,20,India,33,ALL-ROUNDER,,,,,,,,Uncapped
Aditya,Thakare,20,India,24,BOWLER,,,,,,,,Uncapped
Yash,Thakur,20,India,24,BOWLER,,,,,,,,Uncapped
Nangeyalia,Khan,20,Afghanistan,18,ALL-ROUNDER,,,,,,,,Uncapped
Izharulhuq,Naveed,20,Afghanistan,19,BOWLER,,,,,,,,Uncapped
Joshua,Brown,20,Australia,29,BATSMAN,,,,,,,,Uncapped
Tom,Cooper,40,Australia,36,BATSMAN,,,,,,,,Uncapped
Patrick,Dooley,20,Australia,25,BOWLER,,,,,,,,Uncapped
Liam,Guthrie,20,Australia,25,BOWLER,,,,,,,,Uncapped
Peter,Hatzoglou,20,Australia,24,BOWLER,,,,,,,,Uncapped
Clint,Hinchliffe,20,Australia,26,BOWLER,,,,,,,,Uncapped
Nicholas,Hobson,20,Australia,28,BATSMAN,,,,,,,,Uncapped
Daniel,Hughes,30,Australia,34,BATSMAN,,,,,,,,Uncapped
Caleb,Jewell,20,Australia,25,BATSMAN,,,,,,,,Uncapped
Josh,Kann,20,Australia,23,ALL-ROUNDER,,,,,,,,Uncapped
Matthew,Kelly,20,Australia,28,BOWLER,,,,,,,,Uncapped
Thomas,Kelly,30,Australia,22,BATSMAN,,,,,,,,Uncapped
Hayden,Kerr,20,Australia,26,ALL-ROUNDER,,,,,,,,Uncapped
Ben,Manenti,30,Australia,26,ALL-ROUNDER,,,,,,,,Uncapped
Nathan,McAndrew,20,Australia,29,BOWLER,,,,,,,,Uncapped
Lance,Morris,30,Australia,25,BOWLER,,,,,,,,Uncapped
Will,Prestwidge,20,Australia,21,ALL-ROUNDER,,,,,,,,Uncapped
Jack,Prestwidge,20,Australia,27,ALL-ROUNDER,,,,,,,,Uncapped
Nivethan,Radhakrishnan,20,Australia,20,ALL-ROUNDER,,,,,,,,Uncapped
Alex,Ross,20,Australia,30,BATSMAN,,,,,,,,Uncapped
Tanveer,Sangha,20,Australia,21,BOWLER,,,,,,,,Uncapped
Jason,Sangha,20,Australia,23,ALL-ROUNDER,,,,,,,,Uncapped
Lachlan,Shaw,30,Australia,20,WICKETKEEPER,,,,,,,,Uncapped
Matthew,Short,20,Australia,27,ALL-ROUNDER,,,,,,,,Uncapped
Henry,Thornton,30,Australia,26,BOWLER,,,,,,,,Uncapped
Jake,Weatherald,20,Australia,28,BATSMAN,,,,,,,,Uncapped
Beau,Webster,20,Australia,29,ALL-ROUNDER,,,,,,,,Uncapped
Jonathan,Wells,20,Australia,34,BATSMAN,,,,,,,,Uncapped
Jack,Wildermuth,20,Australia,29,ALL-ROUNDER,,,,,,,,Uncapped
Rehan,Ahmed,40,England,18,ALL-ROUNDER,,,,,,,,Uncapped
Sonny,Baker,30,England,20,BOWLER,,,,,,,,Uncapped
Christopher,Benjamin,20,England,23,WICKETKEEPER,,,,,,,,Uncapped
Ian,Cockbain,20,England,36,BATSMAN,,,,,,,,Uncapped
James,Fuller,40,England,33,ALL-ROUNDER,,,,,,,,Uncapped
Thomas,Helm,40,England,28,BOWLER,,,,,,,,Uncapped
Jacob,Lintott,20,England,29,BOWLER,,,,,,,,Uncapped
Will,Smeed,40,England,21,BATSMAN,,,,,,,,Uncapped
Jordan,Thompson,40,England,26,ALL-ROUNDER,,,,,,,,Uncapped
Ross,Whiteley,20,England,34,BATSMAN,,,,,,,,Uncapped
Adithya,Ashok,20,New Zealand,20,BOWLER,,,,,,,,Uncapped
Blake,Coburn,20,New Zealand,27,BOWLER,,,,,,,,Uncapped
Matthew,Fisher,20,New Zealand,23,BOWLER,,,,,,,,Uncapped
Cam,Fletcher,30,New Zealand,30,WICKETKEEPER,,,,,,,,Uncapped
Timothy,Pringle,20,New Zealand,20,ALL-ROUNDER,,,,,,,,Uncapped
Henry,Shipley,20,New Zealand,26,ALL-ROUNDER,,,,,,,,Uncapped
Logan,Van Beek,20,New Zealand,32,ALL-ROUNDER,,,,,,,,Uncapped
Josef,Walker,20,New Zealand,30,BOWLER,,,,,,,,Uncapped
Ottneil,Baartman,20,South Africa,30,BOWLER,,,,,,,,Uncapped
Matthew,Boast,20,South Africa,20,BOWLER,,,,,,,,Uncapped
Neil,Brand,20,South Africa,26,ALL-ROUNDER,,,,,,,,Uncapped
Matthew,Breetzke,20,South Africa,24,BATSMAN,,,,,,,,Uncapped
Nandre,Burger,20,South Africa,27,BOWLER,,,,,,,,Uncapped
Blayde,Capell,20,South Africa,25,WICKETKEEPER,,,,,,,,Uncapped
Gerald,Coetzee,20,South Africa,22,ALL-ROUNDER,,,,,,,,Uncapped
Shane,Dadswell,20,South Africa,25,ALL-ROUNDER,,,,,,,,Uncapped
Junaid,Dawood,20,South Africa,26,BOWLER,,,,,,,,Uncapped
Connor,Esterhuizen,20,South Africa,21,WICKETKEEPER,,,,,,,,Uncapped
Donovan,Ferreira,20,South Africa,24,WICKETKEEPER,,,,,,,,Uncapped
Dean,Foxcroft,20,South Africa,24,ALL-ROUNDER,,,,,,,,Uncapped
Dayyaan,Galiem,20,South Africa,26,ALL-ROUNDER,,,,,,,,Uncapped
Aya,Gqamane,20,South Africa,33,ALL-ROUNDER,,,,,,,,Uncapped
Jordan,Hermann,20,South Africa,21,ALL-ROUNDER,,,,,,,,Uncapped
Duan,Jansen,20,South Africa,22,ALL-ROUNDER,,,,,,,,Uncapped
Evan,Jones,20,South Africa,26,ALL-ROUNDER,,,,,,,,Uncapped
Hanno,Kotze,20,South Africa,28,WICKETKEEPER,,,,,,,,Uncapped
Marco,Marais,20,South Africa,29,BATSMAN,,,,,,,,Uncapped
Wesley,Marshall,20,South Africa,29,BATSMAN,,,,,,,,Uncapped
Tshepo,Moreki,20,South Africa,29,BOWLER,,,,,,,,Uncapped
Migael,Pretorius,20,South Africa,28,ALL-ROUNDER,,,,,,,,Uncapped
Jason,Smith,20,South Africa,28,ALL-ROUNDER,,,,,,,,Uncapped
Prenelan,Subrayen,20,South Africa,29,ALL-ROUNDER,,,,,,,,Uncapped
Beyers,Swanepel,20,South Africa,24,ALL-ROUNDER,,,,,,,,Uncapped
Pite,Van Biljon,40,South Africa,36,BATSMAN,,,,,,,,Uncapped
Mitchell,Van Buuren,20,South Africa,25,BATSMAN,,,,,,,,Uncapped
Sahan,Arachchige,20,Sri Lanka,26,ALL-ROUNDER,,,,,,,,Uncapped
Lasith,Croospulle,20,Sri Lanka,24,BATSMAN,,,,,,,,Uncapped
Shevon,Daniel,20,Sri Lanka,18,BATSMAN,,,,,,,,Uncapped
Kevin,Koththigoda,20,Sri Lanka,24,BOWLER,,,,,,,,Uncapped
Ackeem,Auguste,20,West Indies,19,BATSMAN,,,,,,,,Uncapped
McKenny,Clarke,20,West Indies,19,BOWLER,,,,,,,,Uncapped
Mark,Deyal,20,West Indies,30,ALL-ROUNDER,,,,,,,,Uncapped
Nicholson,Gordon,20,West Indies,31,BOWLER,,,,,,,,Uncapped
Kennar,Lewis,40,West Indies,31,WICKETKEEPER,,,,,,,,Uncapped
Ramon,Simmonds,20,West Indies,21,BOWLER,,,,,,,,Uncapped
Shamar,Springer,20,West Indies,25,ALL-ROUNDER,,,,,,,,Uncapped
Nyeem,Young,30,West Indies,22,ALL-ROUNDER,,,,,,,,Uncapped
