Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Premium %,Next WAR,Shortfall,Dud Score
1,Mitchell Starc,2024,KKR,24.75,11.491415527355374,4.403455995270946,462.0585291775381,0.1969729996330158,11.294442527722358,95.58232931726909
2,Jaydev Unadkat,2018,RR,15.616348055372448,10.748441034771677,4.710206614057543,231.54273973387248,-4.864554013126971,15.612995047898647,92.7710843373494
3,Yuvraj Singh,2015,DC,24.432913269088218,12.222695065196422,2.8641558631320105,753.0580888978,5.997547301246584,6.225147763949838,91.76706827309238
4,Yuvraj Singh,2014,RCB,22.46105919003115,10.896591243236884,4.744062446357057,373.4562296345592,2.5842828213869264,8.312308421849957,91.36546184738955
5,Shane Watson,2016,RCB,13.820621468926554,8.24187125187406,3.7633006913058114,267.247334257816,-1.2651707163803945,9.507041968254454,90.96385542168676
6,Ashish Nehra,2016,SRH,8.001412429378531,13.70074363859738,3.0762989108464915,160.09866600306466,0.0399999999999991,13.660743638597381,89.5582329317269
7,Robin Uthappa,2011,PWI,18.46613545816733,20.948591549295777,7.712476801995048,139.43197408892752,4.902906976744177,16.0456845725516,89.3574297188755
8,Kedar Jadhav,2018,CSK,10.591957811470008,8.209148512777553,4.166074913857939,154.2430952510517,-3.5219983552631646,11.731146868040717,88.35341365461846
9,Saurabh Tiwary,2011,MI,13.8496015936255,15.631029929577466,5.964180119976816,132.21300019489246,1.7183554817275706,13.912674447849895,87.55020080321285
10,Mohit Sharma,2016,PBK,9.456214689265536,5.488194072606564,2.06825766440125,357.2068002950233,0.2806743122468882,5.207519760359676,87.44979919678715
11,Yusuf Pathan,2011,KKR,19.389442231075694,25.72758582746478,9.716943484862453,99.54260577188239,2.4915667260136978,23.23601910145108,86.34538152610442
12,Avesh Khan,2022,LSG,11.016042780748664,9.50807955135956,4.436069641350604,148.32889632892966,-0.1327713815789479,9.640850932938507,86.24497991967871
13,Jaydev Unadkat,2019,RR,11.063938618925832,1.4395342642764009,1.7006006236318636,550.5900600752038,-1.862638188320246,3.302172452596647,85.5421686746988
14,Pat Cummins,2020,KKR,19.177177177177175,7.770148024018984,3.678451294454377,421.3383470942958,3.951631268639989,3.818516755378995,85.54216867469879
15,Ishan Kishan,2018,MI,8.419248516809494,6.864730833682451,3.9039189707102375,115.66145660235836,-1.748766447368423,8.613497281050874,82.73092369477911
16,Rohit Sharma,2011,MI,17.542828685258964,2.9559749119718295,3.2317353792423935,442.8299853365927,0.2295504021812398,2.72642450979059,82.53012048192771
17,Ravindra Jadeja,2012,CSK,18.727272727272727,15.865192596697865,3.4156354278821643,448.2807847231053,13.248112944013169,2.617079652684696,82.32931726907631
18,R. P. Singh,2012,MI,5.618181818181819,8.227799443749328,2.361147553104162,137.94285159331477,1.4423076923076863,6.785491751441642,82.1285140562249
19,Harshal Patel,2022,RCB,11.842245989304812,7.256963968634317,3.9786505574392677,197.6447873051384,2.9946994617224973,4.262264506911819,80.92369477911646
20,Vinay Kumar,2012,RCB,9.363636363636363,5.63095767938745,2.082581416997956,349.6168210861143,3.5355122324159023,2.0954454469715476,79.91967871485943
21,Sam Curran,2020,CSK,6.804804804804806,3.9302274153510544,3.055239195972444,122.72576280689287,-1.4888473435472087,5.4190747588982635,79.31726907630522
22,Yuvraj Singh,2011,PWI,14.772908366533864,15.280122139084504,5.863857144163946,151.93158706529417,10.896591243236884,4.3835308958476205,79.11646586345381
23,Manish Pandey,2018,SRH,14.937376400791036,8.637921554252209,4.2533315619700245,251.19238138755543,6.084909539473678,2.553012014778531,78.9156626506024
24,Christopher Morris,2020,RCB,12.372372372372377,-0.4148123782903576,2.4763975171257457,399.61172577545176,-1.708678093653733,1.2938657153633752,78.714859437751
25,Irfan Pathan,2011,DC,16.619521912350596,12.731965228873236,5.184231532067325,220.57831155012474,9.903277758760954,2.828687470112282,78.5140562248996
26,Rahul Tripathi,2022,SRH,9.363636363636363,13.221656976744184,5.3084233599714254,76.39204201841893,4.45703125,8.764625726744184,78.5140562248996
27,Benjamin Stokes,2018,RR,16.97429136453527,20.636389645300937,12.100114792422563,40.28206885413231,-2.2347722792703983,22.871161924571336,77.51004016064257
28,Subramaniam Badrinath,2011,CSK,7.386454183266932,8.792693661971832,4.285275084409249,72.36826196153518,0.4222591362126238,8.370434525759208,77.51004016064257
29,Marcus Stoinis,2020,DC,5.9387387387387385,6.068292824012712,3.387928744967639,75.29113466627717,-1.6635900470140328,7.731882871026745,76.70682730923696
30,Murali Vijay,2014,DC,8.021806853582554,4.276251911314986,3.4447303794519204,132.87183523660497,0.6601027239356574,3.616149187379329,76.30522088353413
31,Andrew Tye,2018,PBK,9.777191825972317,8.522161360145228,6.736730686220988,45.13259148046624,-2.741524011258254,11.263685371403483,75.3012048192771
32,Robin Uthappa,2018,KKR,8.690837178642058,17.496708734813577,6.527110993034746,33.14982980856739,0.1184210526315752,17.378287682182002,75.1004016064257
33,Kagiso Rabada,2022,PBK,10.189839572192511,3.8524267083529233,5.375356896520309,89.56582359747716,-0.6813621411483233,4.533788849501247,74.8995983935743
34,Mitchell Johnson,2014,PBK,10.42834890965732,11.365089831804282,7.7292429359996,34.9207030495368,-1.8458881422384037,13.210977974042684,74.29718875502007
35,Jason Holder,2022,LSG,9.63903743315508,6.086022268864099,5.988279010238663,60.96506887328411,-0.511677631578948,6.597699900443047,73.89558232931726
36,Ambati Rayudu,2022,CSK,7.435828877005347,9.772070073439412,4.493046174866612,65.49638235636648,4.02734375,5.744726323439412,73.69477911646587
