match_number,team1,team2,match_date,toss_winner,toss_decision,result,eliminator,winner,player_of_match,venue,city,team1_players,team2_players,match_type,gender,event_name
533286,Pakistan,South Africa,2012-09-28,South Africa,bat,Win,NA,Pakistan,Umar Gul,R Premadasa Stadium,Colombo,"Mohammad Hafeez, Imran Nazir, Nasir Jamshed, Kamran Akmal, Shoaib Malik, Umar Akmal, Shahid Afridi, Yasir Arafat, Umar Gul, Saeed Ajmal, Raza Hasan","RE Levi, HM Amla, JH Kallis, JP Duminy, F Behardien, AB de Villiers, JA Morkel, RJ Peterson, J Botha, DW Steyn, M Morkel",T20,male,ICC World Twenty20
350475,South Africa,Australia,2009-03-27,South Africa,field,Win,NA,South Africa,DJ Hussey,New Wanderers Stadium,Johannesburg,"HM Amla, HH Gibbs, AB de Villiers, JP Duminy, VB van Jaarsveld, MV Boucher, JA Morkel, J Botha, RJ Peterson, WD Parnell, DW Steyn","DA Warner, MJ Clarke, RT Ponting, DJ Hussey, MEK Hussey, BJ Haddin, CL White, MG Johnson, JR Hopes, SM Harwood, B Geeves",T20,male,Australia in South Africa T20I Series
1348651,India,New Zealand,2023-02-01,India,bat,Win,NA,India,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"Ishan Kishan, Shubman Gill, RA Tripathi, SA Yadav, HH Pandya, DJ Hooda, Washington Sundar, Shivam Mavi, Kuldeep Yadav, Arshdeep Singh, Umran Malik","FH Allen, DP Conway, MS Chapman, GD Phillips, DJ Mitchell, MG Bracewell, MJ Santner, IS Sodhi, LH Ferguson, BM Tickner, BG Lister",T20,male,New Zealand tour of India
1183527,Australia,Pakistan,2019-11-03,Australia,field,No Result,NA,,,Sydney Cricket Ground,Sydney,"DA Warner, AJ Finch, SPD Smith, BR McDermott, AJ Turner, AT Carey, AC Agar, PJ Cummins, MA Starc, KW Richardson, A Zampa","Babar Azam, Fakhar Zaman, Haris Sohail, Mohammad Rizwan, Asif Ali, Imad Wasim, Iftikhar Ahmed, Wahab Riaz, Shadab Khan, Mohammad Amir, Mohammad Irfan",T20,male,Pakistan tour of Australia
392615,Australia,Pakistan,2009-05-07,Pakistan,field,Win,NA,Pakistan,Shahid Afridi,Dubai International Cricket Stadium,,"SR Watson, BJ Haddin, JR Hopes, A Symonds, DJ Hussey, CJ Ferguson, MJ North, NM Hauritz, B Lee, NW Bracken, BW Hilfenhaus","Salman Butt, Ahmed Shehzad, Kamran Akmal, Misbah-ul-Haq, Shoaib Malik, Shahid Afridi, Umar Gul, Fawad Alam, Shoaib Akhtar, Sohail Tanvir, Saeed Ajmal",T20,male,
1273726,Bangladesh,Sri Lanka,2021-10-24,Sri Lanka,field,Win,NA,Sri Lanka,KIC Asalanka,Sharjah Cricket Stadium,Sharjah,"Mohammad Naim, Liton Das, Shakib Al Hasan, Mushfiqur Rahim, Afif Hossain, Mahmudullah, Nurul Hasan, Mahedi Hasan, Mohammad Saifuddin, Nasum Ahmed, Mustafizur Rahman","MDKJ Perera, P Nissanka, KIC Asalanka, WIA Fernando, PWH de Silva, PBB Rajapaksa, MD Shanaka, C Karunaratne, PVD Chameera, CBRLS Kumara, B Fernando",T20,male,ICC Men's T20 World Cup
1243390,India,England,2021-03-16,England,field,Win,NA,England,JC Buttler,Narendra Modi Stadium,Ahmedabad,"RG Sharma, KL Rahul, Ishan Kishan, V Kohli, RR Pant, SS Iyer, HH Pandya, SN Thakur, Washington Sundar, B Kumar, YS Chahal","JJ Roy, JC Buttler, DJ Malan, JM Bairstow, EJG Morgan, BA Stokes, SM Curran, CJ Jordan, JC Archer, AU Rashid, MA Wood",T20,male,England tour of India
1122286,India,South Africa,2018-02-21,South Africa,field,Win,NA,South Africa,H Klaasen,SuperSport Park,Centurion,"S Dhawan, RG Sharma, SK Raina, V Kohli, MK Pandey, MS Dhoni, HH Pandya, B Kumar, JD Unadkat, YS Chahal, SN Thakur","RR Hendricks, JT Smuts, JP Duminy, H Klaasen, DA Miller, F Behardien, AL Phehlukwayo, CH Morris, D Paterson, CJ Dala, T Shamsi",T20,male,India tour of South Africa
1303316,South Africa,Ireland,2022-08-05,Ireland,field,Win,NA,South Africa,WD Parnell,"County Ground, Bristol",Bristol,"RR Hendricks, Q de Kock, HE van der Dussen, AK Markram, H Klaasen, DA Miller, D Pretorius, WD Parnell, KA Maharaj, L Ngidi, T Shamsi","PR Stirling, A Balbirnie, L Tucker, HT Tector, GJ Delany, C Campher, GH Dockrell, MR Adair, AR McBrine, BJ McCarthy, J Little",T20,male,South Africa tour of England
1158073,West Indies,England,2019-03-10,West Indies,bat,Win,NA,England,DJ Willey,"Warner Park, St Kitts",Basseterre,"SD Hope, JD Campbell, SO Hetmyer, DM Bravo, JO Holder, N Pooran, FA Allen, CR Brathwaite, D Bishoo, SS Cottrell, OC McCoy","AD Hales, JM Bairstow, JE Root, EJG Morgan, JL Denly, SW Billings, DJ Willey, TK Curran, CJ Jordan, AU Rashid, MA Wood",T20,male,England tour of West Indies
682933,Netherlands,Sri Lanka,2014-03-24,Sri Lanka,field,Win,NA,Sri Lanka,AD Mathews,Zahur Ahmed Chowdhury Stadium,Chittagong,"SJ Myburgh, MR Swart, W Barresi, TLW Cooper, PW Borren, BN Cooper, Mudassar Bukhari, LV van Beek, PM Seelaar, T van der Gugten, Ahsan Malik","MDKJ Perera, TM Dilshan, DPMD Jayawardene, KC Sangakkara, LD Chandimal, AD Mathews, NLTC Perera, KMDN Kulasekara, SMSM Senanayake, BAW Mendis, SL Malinga",T20,male,World T20
