match_number,team1,team2,match_date,toss_winner,toss_decision,result,eliminator,winner,player_of_match,venue,city,team1_players,team2_players,match_type,gender,event_name
1317150,West Indies,Bangladesh,2022-07-03,West Indies,bat,Win,NA,West Indies,R Powell,"Windsor Park, Roseau, Dominica",Roseau,"BA King, KR Mayers, SSJ Brooks, N Pooran, R Powell, R Shepherd, OF Smith, KMA Paul, AJ Hosein, OC McCoy, HR Walsh","Anamul Haque, Liton Das, Shakib Al Hasan, Mahmudullah, Afif Hossain, Nurul Hasan, Mosaddek Hossain, Mahedi Hasan, Shoriful Islam, Mustafizur Rahman, Taskin Ahmed",T20,male,Bangladesh tour of West Indies
1446764,Canada,Netherlands,2024-08-26,Netherlands,field,Win,NA,Canada,Saad Bin Zafar,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,"A Johnson, R Pathan, NR Kirton, H Thaker, S Movva, Parveen Kumar, Ravinderpal Singh, Saad Bin Zafar, Akhil Kumar, D Heyliger, Kaleem Sana","M Levitt, MP O'Dowd, Vikramjit Singh, SA Edwards, ZB Lion-Cachet, NRJ Croes, R Klein, K Klein, PA van Meekeren, BD Glover, DT Doram",T20,male,Netherlands Tri-Nation T20I Series
1507720,Sri Lanka,England,2026-02-01,England,field,Win,NA,England,T Banton,Pallekele International Cricket Stadium,Kandy,"P Nissanka, K Mishara, BKG Mendis, P Rathnayake, MD Shanaka, KIC Asalanka, J Liyanage, DN Wellalage, PWH de Silva, M Pathirana, E Malinga","PD Salt, JC Buttler, JG Bethell, T Banton, HC Brook, SM Curran, WG Jacks, J Overton, AU Rashid, LA Dawson, JC Archer",T20,male,England tour of Sri Lanka
1187018,India,West Indies,2019-12-06,India,field,Win,NA,India,V Kohli,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"RG Sharma, KL Rahul, V Kohli, RR Pant, SS Iyer, S Dube, RA Jadeja, Washington Sundar, DL Chahar, B Kumar, YS Chahal","LMP Simmons, E Lewis, BA King, SO Hetmyer, KA Pollard, JO Holder, D Ramdin, K Pierre, KOK Williams, SS Cottrell, HR Walsh",T20,male,West Indies tour of India
1373568,Australia,South Africa,2023-08-30,South Africa,field,Win,NA,Australia,MR Marsh,"Kingsmead, Durban",Durban,"MW Short, TM Head, MR Marsh, JP Inglis, MP Stoinis, TH David, AM Hardie, SA Abbott, NT Ellis, T Sangha, SH Johnson","RR Hendricks, T Bavuma, HE van der Dussen, AK Markram, D Brevis, T Stubbs, M Jansen, G Coetzee, LB Williams, L Ngidi, T Shamsi",T20,male,Australia tour of South Africa
1478909,Australia,India,2025-11-02,India,field,Win,NA,India,Arshdeep Singh,"Bellerive Oval, Hobart",Hobart,"TM Head, MR Marsh, JP Inglis, TH David, MJ Owen, MP Stoinis, MW Short, XC Bartlett, SA Abbott, NT Ellis, MP Kuhnemann","Abhishek Sharma, Shubman Gill, SA Yadav, Tilak Varma, AR Patel, Washington Sundar, JM Sharma, S Dube, Arshdeep Singh, CV Varun, JJ Bumrah",T20,male,India tour of Australia
1327270,Pakistan,India,2022-08-28,India,field,Win,NA,India,HH Pandya,Dubai International Cricket Stadium,Dubai,"Mohammad Rizwan, Babar Azam, Fakhar Zaman, Iftikhar Ahmed, Khushdil Shah, Shadab Khan, Asif Ali, Mohammad Nawaz, Haris Rauf, Naseem Shah, Shahnawaz Dhani","RG Sharma, KL Rahul, V Kohli, RA Jadeja, SA Yadav, HH Pandya, KD Karthik, B Kumar, YS Chahal, Avesh Khan, Arshdeep Singh",T20,male,Asia Cup
1420224,India,Zimbabwe,2024-07-07,India,bat,Win,NA,India,Abhishek Sharma,Harare Sports Club,Harare,"Shubman Gill, Abhishek Sharma, RD Gaikwad, RK Singh, R Parag, B Sai Sudharsan, Dhruv Jurel, Washington Sundar, Ravi Bishnoi, Avesh Khan, Mukesh Kumar","I Kaia, W Madhevere, BJ Bennett, D Myers, Sikandar Raza, J Campbell, C Madande, WP Masakadza, LM Jongwe, B Muzarabani, TL Chatara",T20,male,India tour of Zimbabwe
936157,South Africa,Sri Lanka,2017-01-25,South Africa,bat,Win,NA,Sri Lanka,N Dickwella,Newlands,Cape Town,"JT Smuts, RR Hendricks, AB de Villiers, DA Miller, F Behardien, M Mosehle, WD Parnell, AL Phehlukwayo, D Paterson, Imran Tahir, L Ngidi","N Dickwella, WU Tharanga, LD Chandimal, DM de Silva, S Prasanna, BKG Mendis, DAS Gunaratne, ST de Silva, KMDN Kulasekara, PADLR Sandakan, I Udana",T20,male,Sri Lanka in South Africa T20I Series
1450825,Canada,Oman,2024-09-30,Oman,field,Win,NA,Oman,Aqib Ilyas,"Maple Leaf North-West Ground, King City",King City,"NS Dhaliwal, A Johnson, DS Bajwa, NR Kirton, S Movva, H Thaker, Saad Bin Zafar, D Heyliger, Parveen Kumar, Kaleem Sana, Akhil Kumar","Aqib Ilyas, KH Prajapati, Shoaib Khan, Zeeshan Maqsood, Fayyaz Butt, Khalid Kail, PS Athavale, Shakeel Ahmed, Ayan Khan, Kaleemullah, Rafiullah",T20,male,Canada T20 Tri-Series
446961,Australia,England,2011-01-14,Australia,bat,Win,NA,Australia,AJ Finch,Melbourne Cricket Ground,,"DA Warner, SR Watson, TD Paine, DJ Hussey, CL White, AJ Finch, SPD Smith, SNJ O'Keefe, MG Johnson, B Lee, SW Tait","IR Bell, SM Davies, KP Pietersen, PD Collingwood, EJG Morgan, LJ Wright, TT Bresnan, CR Woakes, MH Yardy, GP Swann, A Shahzad",T20,male,England in Australia T20I Series
1512719,Netherlands,Pakistan,2026-02-07,Pakistan,field,Win,NA,Pakistan,Faheem Ashraf,"Sinhalese Sports Club Ground, Colombo",Colombo,"M Levitt, MP O'Dowd, BFW de Leede, CN Ackermann, SA Edwards, ZB Lion-Cachet, LV van Beek, A Dutt, RE van der Merwe, K Klein, PA van Meekeren","Sahibzada Farhan, Saim Ayub, Agha Salman, Babar Azam, Usman Khan, Shadab Khan, Mohammad Nawaz, Faheem Ashraf, Shaheen Shah Afridi, Salman Mirza, Abrar Ahmed",T20,male,ICC Men's T20 World Cup
1203676,West Indies,Ireland,2020-01-15,Ireland,bat,Win,NA,Ireland,PR Stirling,"National Cricket Stadium, Grenada",St George's,"LMP Simmons, E Lewis, SO Hetmyer, KA Pollard, N Pooran, SE Rutherford, DJ Bravo, HR Walsh, K Pierre, KOK Williams, SS Cottrell","PR Stirling, KJ O'Brien, A Balbirnie, GJ Delany, HT Tector, GC Wilson, GH Dockrell, Simi Singh, BJ McCarthy, J Little, CA Young",T20,male,Ireland tour of West Indies
355999,Netherlands,Pakistan,2009-06-09,Pakistan,bat,Win,NA,Pakistan,Kamran Akmal,Lord's,London,"DJ Reekers, AN Kervezee, B Zuiderent, PW Borren, RN ten Doeschate, TN de Grooth, DLS van Bunge, E Schiferli, J Smits, DP Nannes, PM Seelaar","Kamran Akmal, Salman Butt, Shoaib Malik, Younis Khan, Misbah-ul-Haq, Shahid Afridi, Fawad Alam, Umar Gul, Saeed Ajmal, Mohammad Amir, Sohail Tanvir",T20,male,ICC World Twenty20
287874,Australia,Sri Lanka,2007-09-20,Australia,field,Win,NA,Australia,SR Clark,Newlands,Cape Town,"AC Gilchrist, ML Hayden, BJ Hodge, A Symonds, MEK Hussey, MJ Clarke, SR Watson, B Lee, MG Johnson, NW Bracken, SR Clark","WU Tharanga, ST Jayasuriya, KC Sangakkara, DPMD Jayawardene, LPC Silva, TM Dilshan, J Mubarak, MF Maharoof, WPUJC Vaas, SL Malinga, CRD Fernando",T20,male,ICC World Twenty20
573672,Netherlands,Bangladesh,2012-07-26,Bangladesh,bat,Win,NA,Netherlands,,Sportpark Westvliet,The Hague,"W Barresi, MR Swart, TLW Cooper, PW Borren, TN de Grooth, ES Szwarczynski, Mudassar Bukhari, TGJ Gruijters, PM Seelaar, T van der Gugten, Ahsan Malik","Tamim Iqbal, Junaid Siddique, Shakib Al Hasan, Mushfiqur Rahim, Mahmudullah, Ziaur Rahman, Nasir Hossain, Jahurul Islam, Abdur Razzak, Shafiul Islam, Elias Sunny",T20,male,Bangladesh in Netherlands T20I Series
1404393,Zimbabwe,Namibia,2023-10-29,Zimbabwe,bat,Win,NA,Namibia,MG Erasmus,"United Cricket Club Ground, Windhoek",Windhoek,"I Kaia, TS Kamunhukamwe, CR Ervine, Sikandar Raza, RP Burl, CT Mumba, W Madhevere, M Faraz Akram, TL Chatara, A Ndlovu, NP Mayavo","M van Lingen, N Davin, JN Frylinck, MG Erasmus, JJ Smit, JP Kotze, H Klazinge, JN Loftie-Eaton, BM Scholtz, T Lungameni, ZE Green",T20,male,Zimbabwe tour of Namibia
1142505,Netherlands,Scotland,2018-06-19,Netherlands,bat,Win,NA,Scotland,,VRA Ground,Amstelveen,"TP Visee, MP O'Dowd, W Barresi, BN Cooper, Sikander Zulfiqar, SA Edwards, T van der Gugten, BFW de Leede, FJ Klaassen, PA van Meekeren, PM Seelaar","HG Munsey, KJ Coetzer, RD Berrington, CS MacLeod, DE Budge, MH Cross, MA Leask, SM Sharif, MRJ Watt, AC Evans, SG Whittingham",T20,male,Netherlands Tri-Nation T20I Series
1440464,Australia,Scotland,2024-09-06,Scotland,field,Win,NA,Australia,JP Inglis,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,"J Fraser-McGurk, TM Head, JP Inglis, C Green, MP Stoinis, TH David, MR Marsh, SA Abbott, XC Bartlett, A Zampa, AM Hardie","HG Munsey, MA Jones, BJ McMullen, RD Berrington, C Tear, MA Leask, MRJ Watt, CN Greaves, CB Sole, BTJ Wheal, BJ Currie",T20,male,Australia tour of Scotland
1273718,Netherlands,Namibia,2021-10-20,Namibia,field,Win,NA,Namibia,D Wiese,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,"MP O'Dowd, SJ Myburgh, RE van der Merwe, CN Ackermann, SA Edwards, LV van Beek, BFW de Leede, RN ten Doeschate, PM Seelaar, T van der Gugten, FJ Klaassen","SJ Baard, ZE Green, CG Williams, MG Erasmus, D Wiese, JJ Smit, M van Lingen, JN Frylinck, JN Loftie-Eaton, R Trumpelmann, BM Scholtz",T20,male,ICC Men's T20 World Cup
1270837,Bangladesh,Australia,2021-08-07,Bangladesh,bat,Win,NA,Australia,MJ Swepson,"Shere Bangla National Stadium, Mirpur",Dhaka,"Mohammad Naim, Soumya Sarkar, Shakib Al Hasan, Mahmudullah, Nurul Hasan, Afif Hossain, Shamim Hossain, Mahedi Hasan, Nasum Ahmed, Shoriful Islam, Mustafizur Rahman","BR McDermott, MS Wade, DT Christian, MR Marsh, MC Henriques, AT Carey, AJ Turner, AC Agar, AJ Tye, MJ Swepson, JR Hazlewood",T20,male,Australia tour of Bangladesh
1142913,Pakistan,Zimbabwe,2018-07-01,Zimbabwe,field,Win,NA,Pakistan,Asif Ali,Harare Sports Club,,"Mohammad Hafeez, Fakhar Zaman, Hussain Talat, Sarfraz Ahmed, Shoaib Malik, Asif Ali, Faheem Ashraf, Shadab Khan, Mohammad Nawaz (3), Hasan Ali, Usman Shinwari","SF Mire, CJ Chibhabha, H Masakadza, TK Musakanda, PJ Moor, E Chigumbura, RP Burl, TS Chisoro, B Muzarabani, J Nyumbu, KM Jarvis",T20,male,Zimbabwe Twenty20 Tri-Series
412701,England,Sri Lanka,2010-05-13,Sri Lanka,bat,Win,NA,England,SCJ Broad,"Beausejour Stadium, Gros Islet",St Lucia,"C Kieswetter, MJ Lumb, KP Pietersen, PD Collingwood, EJG Morgan, LJ Wright, TT Bresnan, MH Yardy, GP Swann, SCJ Broad, RJ Sidebottom","DPMD Jayawardene, ST Jayasuriya, TM Dilshan, KC Sangakkara, AD Mathews, CK Kapugedera, NLTC Perera, CU Jayasinghe, S Randiv, SL Malinga, BAW Mendis",T20,male,ICC World Twenty20
1317486,England,Australia,2022-10-09,Australia,field,Win,NA,England,AD Hales,Perth Stadium,Perth,"JC Buttler, AD Hales, BA Stokes, HC Brook, MM Ali, SM Curran, DJ Malan, CR Woakes, AU Rashid, RJW Topley, MA Wood","DA Warner, C Green, MR Marsh, AJ Finch, MP Stoinis, TH David, MS Wade, DR Sams, NT Ellis, KW Richardson, MJ Swepson",T20,male,England tour of Australia
1503466,Nepal,Oman,2025-10-15,Nepal,bat,Win,NA,Nepal,K Bhurtel,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,"K Bhurtel, Aasif Sheikh, RK Paudel, DS Airee, Kushal Malla, Mohammad Aadil Alam, Gulsan Jha, Lokesh Bam, Sompal Kami, NK Yadav, S Lamichhane","Jatinder Singh, Hammad Mirza, AR Bisht, Aamir Kaleem, Mohammad Nadeem, Nadeem Khan, V Shukla, J Ramanandi, Sufyan Mehmood, Shakeel Ahmed, Shah Faisal",T20,male,ICC Men's T20 World Cup Asia & EAP Qualifier
533294,Australia,Pakistan,2012-10-02,Australia,field,Win,NA,Pakistan,Raza Hasan,R Premadasa Stadium,Colombo,"SR Watson, DA Warner, MEK Hussey, GJ Bailey, CL White, GJ Maxwell, MS Wade, PJ Cummins, MA Starc, GB Hogg, XJ Doherty","Mohammad Hafeez, Imran Nazir, Nasir Jamshed, Kamran Akmal, Umar Akmal, Abdul Razzaq, Shahid Afridi, Shoaib Malik, Umar Gul, Saeed Ajmal, Raza Hasan",T20,male,ICC World Twenty20
1502762,Namibia,Zimbabwe,2025-10-04,Zimbabwe,field,Win,NA,Zimbabwe,T Marumani,Harare Sports Club,Harare,"MB Kruger, JN Frylinck, JN Loftie-Eaton, L Steenkamp, MG Erasmus, JJ Smit, R Trumpelmann, ZE Green, JC Balt, BM Scholtz, B Shikongo","T Marumani, BJ Bennett, D Myers, Sikandar Raza, RP Burl, T Musekiwa, T Munyonga, B Evans, B Muzarabani, R Ngarava, WP Masakadza",T20,male,ICC Men's T20 World Cup Africa Region Final
1512762,West Indies,Zimbabwe,2026-02-23,Zimbabwe,field,Win,NA,West Indies,SO Hetmyer,"Wankhede Stadium, Mumbai",Mumbai,"BA King, SD Hope, SO Hetmyer, R Powell, SE Rutherford, R Shepherd, JO Holder, MW Forde, AJ Hosein, G Motie, S Joseph","T Marumani, BJ Bennett, D Myers, RP Burl, Sikandar Raza, T Munyonga, T Musekiwa, B Evans, AG Cremer, B Muzarabani, R Ngarava",T20,male,ICC Men's T20 World Cup
1197521,Ireland,Netherlands,2019-10-05,Ireland,field,Win,NA,Ireland,,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,"PR Stirling, KJ O'Brien, A Balbirnie, GJ Delany, HT Tector, MR Adair, CA Young, SC Getkate, WB Rankin, GH Dockrell, GC Wilson","TP Visee, MP O'Dowd, BN Cooper, CN Ackermann, RE van der Merwe, SA Edwards, PM Seelaar, AJ Staal, S Snater, BD Glover, PA van Meekeren",T20,male,Oman Pentangular T20I Series
966765,Bangladesh,India,2016-03-06,India,field,Win,NA,India,S Dhawan,Shere Bangla National Stadium,Mirpur,"Tamim Iqbal, Soumya Sarkar, Sabbir Rahman, Shakib Al Hasan, Mushfiqur Rahim, Mashrafe Mortaza, Mahmudullah, Nasir Hossain, Al-Amin Hossain, Abu Hider, Taskin Ahmed","RG Sharma, S Dhawan, V Kohli, MS Dhoni, SK Raina, Yuvraj Singh, HH Pandya, RA Jadeja, R Ashwin, JJ Bumrah, A Nehra",T20,male,Asia Cup
1144150,Zimbabwe,South Africa,2018-10-12,Zimbabwe,bat,Win,NA,South Africa,D Paterson,Senwes Park,Potchefstroom,"H Masakadza, SF Mire, BRM Taylor, TK Musakanda, SC Williams, PJ Moor, E Chigumbura, TS Chisoro, B Mavuta, KM Jarvis, CB Mpofu","HE van der Dussen, Q de Kock, F du Plessis, JP Duminy, H Klaasen, DA Miller, AL Phehlukwayo, R Frylinck, D Paterson, L Ngidi, T Shamsi",T20,male,Zimbabwe tour of South Africa
287858,England,Zimbabwe,2007-09-13,England,bat,Win,NA,England,KP Pietersen,Newlands,Cape Town,"DL Maddy, MJ Prior, LJ Wright, KP Pietersen, PD Collingwood, A Flintoff, OA Shah, AD Mascarenhas, CP Schofield, SCJ Broad, JM Anderson","V Sibanda, BRM Taylor, T Taibu, CJ Chibhabha, S Matsikenyeri, E Chigumbura, H Masakadza, P Utseya, KM Dabengwa, GB Brent, T Mupariwa",T20,male,ICC World Twenty20
1200426,Ireland,Scotland,2019-09-17,Scotland,bat,Win,NA,Ireland,A Balbirnie,"The Village, Malahide",Dublin,"KJ O'Brien, GJ Delany, A Balbirnie, HT Tector, GC Wilson, L Tucker, SC Getkate, MR Adair, WB Rankin, DC Delany, SR Thompson","HG Munsey, KJ Coetzer, CS MacLeod, MA Leask, RD Berrington, OJ Hairs, MH Cross, SM Sharif, MRJ Watt, AC Evans, Hamza Tahir",T20,male,Ireland Tri-Nation T20I Series
682921,India,Pakistan,2014-03-21,India,field,Win,NA,India,A Mishra,Shere Bangla National Stadium,Mirpur,"RG Sharma, S Dhawan, V Kohli, Yuvraj Singh, SK Raina, MS Dhoni, R Ashwin, RA Jadeja, A Mishra, B Kumar, Mohammed Shami","Kamran Akmal, Ahmed Shehzad, Mohammad Hafeez, Umar Akmal, Shoaib Malik, Shahid Afridi, Sohaib Maqsood, Bilawal Bhatti, Umar Gul, Saeed Ajmal, Junaid Khan",T20,male,World T20
1188379,Netherlands,Zimbabwe,2019-06-23,Zimbabwe,field,Win,NA,Netherlands,,Hazelaarweg,Rotterdam,"TP Visee, MP O'Dowd, BN Cooper, BFW de Leede, W Barresi, RE van der Merwe, SA Edwards, PM Seelaar, BD Glover, PA van Meekeren, FJ Klaassen","H Masakadza, SF Mire, CR Ervine, BRM Taylor, SC Williams, Sikandar Raza, PJ Moor, RP Burl, DT Tiripano, KM Jarvis, CB Mpofu",T20,male,Zimbabwe tour of Netherlands and Ireland
1273734,West Indies,Bangladesh,2021-10-29,Bangladesh,field,Win,NA,West Indies,N Pooran,Sharjah Cricket Stadium,Sharjah,"CH Gayle, E Lewis, RL Chase, SO Hetmyer, KA Pollard, AD Russell, N Pooran, DJ Bravo, JO Holder, AJ Hosein, R Rampaul","Mohammad Naim, Shakib Al Hasan, Liton Das, Soumya Sarkar, Mushfiqur Rahim, Mahmudullah, Afif Hossain, Mahedi Hasan, Shoriful Islam, Taskin Ahmed, Mustafizur Rahman",T20,male,ICC Men's T20 World Cup
489220,West Indies,India,2011-06-04,West Indies,field,Win,NA,India,S Badrinath,"Queen's Park Oval, Port of Spain",Trinidad,"ADS Fletcher, LMP Simmons, DM Bravo, MN Samuels, DP Hyatt, DJG Sammy, CD Barnwell, AD Russell, AR Nurse, D Bishoo, R Rampaul","PA Patel, S Dhawan, V Kohli, S Badrinath, SK Raina, RG Sharma, YK Pathan, Harbhajan Singh, P Kumar, R Ashwin, MM Patel",T20,male,
602477,Sri Lanka,Bangladesh,2013-03-31,Bangladesh,field,Win,NA,Sri Lanka,MDKJ Perera,Pallekele International Cricket Stadium,,"MDKJ Perera, EMDY Munaweera, LD Chandimal, HDRL Thirimanne, AD Mathews, BMAJ Mendis, NLTC Perera, AK Perera, RMS Eranga, SL Malinga, SMSM Senanayake","Mohammad Ashraful, Shamsur Rahman, Jahurul Islam, Mushfiqur Rahim, Nasir Hossain, Mahmudullah, Mominul Haque, Sohag Gazi, Abdur Razzak, Shahadat Hossain, Rubel Hossain",T20,male,
1448347,West Indies,England,2025-06-08,England,field,Win,NA,England,L Wood,"County Ground, Bristol",Bristol,"E Lewis, J Charles, SD Hope, SE Rutherford, R Powell, R Shepherd, JO Holder, RL Chase, AS Joseph, G Motie, AJ Hosein","JL Smith, BM Duckett, JC Buttler, HC Brook, JG Bethell, T Banton, WG Jacks, BA Carse, LA Dawson, AU Rashid, L Wood",T20,male,West Indies tour of England
1298156,South Africa,Bangladesh,2022-10-27,South Africa,bat,Win,NA,South Africa,RR Rossouw,Sydney Cricket Ground,Sydney,"T Bavuma, Q de Kock, RR Rossouw, T Stubbs, AK Markram, DA Miller, WD Parnell, KA Maharaj, K Rabada, A Nortje, T Shamsi","Nazmul Hossain Shanto, Soumya Sarkar, Liton Das, Shakib Al Hasan, Afif Hossain, Mehedi Hasan Miraz, Mosaddek Hossain, Nurul Hasan, Taskin Ahmed, Hasan Mahmud, Mustafizur Rahman",T20,male,ICC Men's T20 World Cup
682937,Netherlands,South Africa,2014-03-27,Netherlands,field,Win,NA,South Africa,Imran Tahir,Zahur Ahmed Chowdhury Stadium,Chittagong,"SJ Myburgh, MR Swart, W Barresi, PW Borren, TLW Cooper, BN Cooper, Mudassar Bukhari, PM Seelaar, LV van Beek, T van der Gugten, Ahsan Malik","HM Amla, Q de Kock, F du Plessis, AB de Villiers, JA Morkel, JP Duminy, DA Miller, DW Steyn, BE Hendricks, Imran Tahir, LL Tsotsobe",T20,male,World T20
1512723,England,Nepal,2026-02-08,England,bat,Win,NA,England,WG Jacks,"Wankhede Stadium, Mumbai",Mumbai,"PD Salt, JC Buttler, JG Bethell, T Banton, HC Brook, SM Curran, WG Jacks, JC Archer, LA Dawson, AU Rashid, L Wood","K Bhurtel, Aasif Sheikh, RK Paudel, DS Airee, Aarif Sheikh, Lokesh Bam, Gulsan Jha, Karan KC, S Malla, NK Yadav, S Lamichhane",T20,male,ICC Men's T20 World Cup
1322336,Bangladesh,New Zealand,2022-10-09,New Zealand,field,Win,NA,New Zealand,MG Bracewell,"Hagley Oval, Christchurch",Christchurch,"Nazmul Hossain Shanto, Mehedi Hasan Miraz, Liton Das, Afif Hossain, Mosaddek Hossain, Yasir Ali Chowdhury, Shakib Al Hasan, Nurul Hasan, Taskin Ahmed, Hasan Mahmud, Shoriful Islam","FH Allen, DP Conway, KS Williamson, GD Phillips, MS Chapman, JDS Neesham, MG Bracewell, AF Milne, IS Sodhi, TG Southee, TA Boult",T20,male,New Zealand T20I Tri-Series
1498663,Netherlands,Bangladesh,2025-09-01,Bangladesh,field,Win,NA,Bangladesh,Nasum Ahmed,Sylhet International Cricket Stadium,Sylhet,"MP O'Dowd, Vikramjit Singh, AT Nidamanuru, SA Edwards, Shariz Ahmad, NRJ Croes, Sikander Zulfiqar, K Klein, A Dutt, PA van Meekeren, DT Doram","Parvez Hossain Emon, Tanzid Hasan, Liton Das, Saif Hassan, Towhid Hridoy, Jaker Ali, Mahedi Hasan, Taskin Ahmed, Mustafizur Rahman, Nasum Ahmed, Tanzim Hasan Sakib",T20,male,Netherlands tour of Bangladesh
1273722,Ireland,Namibia,2021-10-22,Ireland,bat,Win,NA,Namibia,D Wiese,Sharjah Cricket Stadium,Sharjah,"PR Stirling, KJ O'Brien, A Balbirnie, GJ Delany, C Campher, HT Tector, NA Rock, MR Adair, Simi Singh, CA Young, J Little","CG Williams, ZE Green, MG Erasmus, D Wiese, M van Lingen, JJ Smit, JN Frylinck, HN Ya France, JN Loftie-Eaton, R Trumpelmann, BM Scholtz",T20,male,ICC Men's T20 World Cup
1303312,New Zealand,Ireland,2022-07-18,Ireland,field,Win,NA,New Zealand,GD Phillips,"Civil Service Cricket Club, Stormont, Belfast",Belfast,"MJ Guptill, FH Allen, D Cleaver, GD Phillips, DJ Mitchell, JDS Neesham, MG Bracewell, MJ Santner, IS Sodhi, LH Ferguson, JA Duffy","PR Stirling, A Balbirnie, GJ Delany, HT Tector, C Campher, L Tucker, GH Dockrell, MR Adair, BJ McCarthy, CA Young, J Little",T20,male,New Zealand tour of Ireland
1188380,Netherlands,Zimbabwe,2019-06-25,Netherlands,bat,No Result,NA,,,Hazelaarweg,Rotterdam,"TP Visee, MP O'Dowd, BN Cooper, W Barresi, Saqib Zulfiqar, RE van der Merwe, PM Seelaar, SA Edwards, FJ Klaassen, PA van Meekeren, BD Glover","H Masakadza, BRM Taylor, CR Ervine, SC Williams, Sikandar Raza, PJ Moor, E Chigumbura, RP Burl, KM Jarvis, CB Mpofu, TL Chatara",T20,male,Zimbabwe tour of Netherlands and Ireland
1257945,Netherlands,Nepal,2021-04-17,Nepal,field,Win,NA,Nepal,K Bhurtel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,"MP O'Dowd, SA Edwards, BN Cooper, BFW de Leede, PM Seelaar, AJ Staal, PRP Boissevain, VJ Kingma, PA van Meekeren, A Dutt, JL de Mey","K Bhurtel, Aasif Sheikh, G Malla, S Lamichhane, Karan KC, B Bhandari, A Bohara, Sompal Kami, Aarif Sheikh, Shahab Alam, DS Airee",T20,male,Nepal Tri-Nation T20I Series
533282,Ireland,West Indies,2012-09-24,West Indies,field,No Result,NA,,,R Premadasa Stadium,Colombo,"WTS Porterfield, PR Stirling, EC Joyce, NJ O'Brien, GC Wilson, KJ O'Brien, DT Johnston, NG Jones, AR Cusack, MC Sorensen, GH Dockrell","CH Gayle, J Charles, DM Bravo, MN Samuels, KA Pollard, AD Russell, DJG Sammy, D Ramdin, SP Narine, R Rampaul, FH Edwards",T20,male,ICC World Twenty20
1262758,India,Sri Lanka,2021-07-25,Sri Lanka,field,Win,NA,India,B Kumar,"R Premadasa Stadium, Colombo",Colombo,"PP Shaw, S Dhawan, SV Samson, SA Yadav, HH Pandya, Ishan Kishan, KH Pandya, DL Chahar, B Kumar, YS Chahal, CV Varun","WIA Fernando, M Bhanuka, DM de Silva, KIC Asalanka, KNA Bandara, MD Shanaka, PWH de Silva, C Karunaratne, I Udana, PVD Chameera, A Dananjaya",T20,male,India tour of Sri Lanka
1339604,South Africa,West Indies,2023-03-25,West Indies,field,Win,NA,West Indies,R Powell,"SuperSport Park, Centurion",Centurion,"Q de Kock, RR Hendricks, RR Rossouw, AK Markram, DA Miller, H Klaasen, WD Parnell, SSB Magala, BC Fortuin, A Nortje, T Shamsi","BA King, KR Mayers, J Charles, N Pooran, R Powell, R Shepherd, OF Smith, AJ Hosein, RL Chase, AS Joseph, SS Cottrell",T20,male,West Indies tour of South Africa
1442988,Sri Lanka,India,2024-07-28,India,field,Win,NA,India,Ravi Bishnoi,Pallekele International Cricket Stadium,Kandy,"P Nissanka, BKG Mendis, MDKJ Perera, PHKD Mendis, KIC Asalanka, MD Shanaka, PWH de Silva, RTM Mendis, M Theekshana, M Pathirana, AM Fernando","YBK Jaiswal, SV Samson, SA Yadav, HH Pandya, RR Pant, R Parag, RK Singh, AR Patel, Arshdeep Singh, Ravi Bishnoi, Mohammed Siraj",T20,male,India tour of Sri Lanka
1478899,South Africa,Australia,2025-08-12,Australia,field,Win,NA,South Africa,D Brevis,"Marrara Stadium, Darwin",Darwin,"AK Markram, RD Rickelton, LG Pretorius, D Brevis, T Stubbs, HE van der Dussen, C Bosch, K Rabada, N Peter, KT Maphaka, L Ngidi","MR Marsh, TM Head, C Green, TH David, GJ Maxwell, MJ Owen, AT Carey, BJ Dwarshuis, SA Abbott, A Zampa, JR Hazlewood",T20,male,South Africa tour of Australia
356008,New Zealand,Pakistan,2009-06-13,New Zealand,bat,Win,NA,Pakistan,Umar Gul,Kennington Oval,London,"BB McCullum, AJ Redmond, MJ Guptill, SB Styris, JDP Oram, PD McGlashan, NL McCullum, JEC Franklin, DL Vettori, KD Mills, IG Butler","Kamran Akmal, Shahzaib Hasan, Abdul Razzaq, Shoaib Malik, Shahid Afridi, Younis Khan, Misbah-ul-Haq, Umar Gul, Saeed Ajmal, Fawad Alam, Mohammad Amir",T20,male,ICC World Twenty20
1034825,India,England,2017-01-26,England,field,Win,NA,England,MM Ali,Green Park,Kanpur,"V Kohli, KL Rahul, SK Raina, Yuvraj Singh, MS Dhoni, MK Pandey, HH Pandya, Parvez Rasool, JJ Bumrah, A Nehra, YS Chahal","JJ Roy, SW Billings, JE Root, EJG Morgan, BA Stokes, JC Buttler, MM Ali, CJ Jordan, LE Plunkett, TS Mills, AU Rashid",T20,male,England in India T20I Series
