year,player,team,batting_war,bowling_war,total_war,runs,balls_faced,strike_rate,balls_bowled,overs,runs_conceded,wickets,economy
2006,Shahid Afridi,Pakistan,1.0174193548387098,-0.06072727272727292,0.9566920821114369,28.0,12.0,233.33333333333334,24.0,4.0,29.0,0.0,7.25
2006,AR Adams,New Zealand,0.107258064516129,0.8307878787878785,0.9380459433040075,6.0,5.0,120.0,29.0,4.833333333333333,38.0,2.0,7.862068965517242
2006,AJ Hall,South Africa,-0.485483870967742,1.378545454545454,0.893061583577712,11.0,10.0,110.00000000000001,48.0,8.0,61.0,3.0,7.625
2006,Naved-ul-Hasan,,0.0,0.8392727272727271,0.8392727272727271,0.0,0.0,,24.0,4.0,26.0,1.0,6.5
2006,MJ Mason,,0.0,0.7294545454545454,0.7294545454545454,0.0,0.0,,18.0,3.0,20.0,1.0,6.666666666666667
2006,JA Morkel,South Africa,0.32612903225806456,0.21963636363636355,0.5457653958944281,27.0,18.0,150.0,12.0,2.0,12.0,0.0,6.0
2006,SCJ Broad,,0.0,0.5392727272727271,0.5392727272727271,0.0,0.0,,24.0,4.0,35.0,2.0,8.75
2006,MJ Clarke,Australia,0.5377419354838711,0.0,0.5377419354838711,37.0,26.0,142.30769230769232,0.0,,,,
2006,Harbhajan Singh,,0.0,0.4294545454545453,0.4294545454545453,0.0,0.0,,18.0,3.0,23.0,1.0,7.666666666666667
2006,JR Hopes,Australia,-1.068064516129032,1.439272727272727,0.37120821114369495,17.0,22.0,77.27272727272727,24.0,4.0,26.0,2.0,6.5
2006,SB Styris,New Zealand,-0.37532258064516133,0.7392727272727271,0.36395014662756575,19.0,17.0,111.76470588235294,24.0,4.0,33.0,2.0,8.25
2006,KD Karthik,India,0.3406451612903226,0.0,0.3406451612903226,31.0,28.0,110.71428571428572,0.0,,,,
2006,IDR Bradshaw,,0.0,0.33927272727272706,0.33927272727272706,0.0,0.0,,24.0,4.0,25.0,0.0,6.25
2006,GO Jones,England,0.31596774193548394,0.0,0.31596774193548394,14.0,11.0,127.27272727272727,0.0,,,,
2006,WPUJC Vaas,,0.0,0.23927272727272708,0.23927272727272708,0.0,0.0,,24.0,4.0,32.0,1.0,8.0
2006,MV Boucher,South Africa,0.23048387096774192,0.0,0.23048387096774192,29.0,21.0,138.0952380952381,0.0,,,,
2006,JE Taylor,,0.0,0.2294545454545453,0.2294545454545453,0.0,0.0,,18.0,3.0,31.0,2.0,10.333333333333334
2006,SR Tendulkar,India,-0.8811290322580645,1.0745454545454542,0.19341642228738976,10.0,13.0,76.92307692307693,15.0,2.5,13.0,1.0,5.2
2006,PD Collingwood,England,-2.2738709677419355,2.4589090909090907,0.18503812316715518,7.0,18.0,38.88888888888889,36.0,6.0,42.0,4.0,7.0
2006,HH Gibbs,South Africa,0.16387096774193566,0.0,0.16387096774193566,63.0,44.0,143.1818181818182,0.0,,,,
2006,RJ Peterson,South Africa,-0.9825806451612902,1.1307878787878785,0.14820723362658828,8.0,12.0,66.66666666666666,29.0,4.833333333333333,41.0,3.0,8.482758620689655
2006,HMCM Bandara,Sri Lanka,-0.6970967741935483,0.8392727272727271,0.14217595307917874,1.0,2.0,50.0,24.0,4.0,20.0,0.0,5.0
