cricsheet_id,player_id,canonical_name,has_ipl,has_t20i
e4a0deae,P0596,MJ Santner,True,True
2f49c897,P0675,Mohammed Siraj,True,True
7d92277a,P0688,Mujeeb Ur Rahman,True,False
fffa744b,P0715,Naman Dhir,True,False
c7a995d3,P0827,R Sai Kishore,True,True
a76d10ba,P1086,TM Srivastava,True,False
e249fdaa,P0004,A Chopra,True,False
66b30f71,P0016,AB Dinda,True,True
a1f1829d,P0481,K Goel,True,False
6b71e6cf,P0492,KC Sangakkara,True,True
b1451597,P0556,LR Shukla,True,False
abfeb126,P0575,M Kartik,True,True
32198ae0,P0590,MC Henriques,True,True
7ca5e05d,P0846,Ravi Bopara,True,True
725529bc,P0926,SC Ganguly,True,False
40caa465,P1119,V Kohli,True,False
fa463154,P0015,Ajit Agarkar,True,True
a84468fe,P0262,DJ Jacobs,True,False
5bb5a915,P0578,M Morkel,True,True
f0f628c7,P0602,MM Patel,True,True
6c6591ab,P0762,PP Ojha,True,True
9d80c5e1,P0919,S Nadeem,True,False
662c47a6,P1178,Y Nagar,True,False
a3b0600d,P0108,Aniket Verma,True,False
25228673,P0384,Harsh Dubey,True,False
f834dcfc,P0550,L Ngidi,True,True
f1f99156,P1082,Tim David,True,True
2c25d4f5,P0250,D Padikkal,True,True
0c9652b0,P0370,Hrithik Shokeen,True,False
f6d8a7ab,P0484,K Kartikeya,True,False
2e78f685,P0503,KR Sen,True,False
04a418e8,P0825,R Parag,True,True
64775749,P0841,RP Meredith,True,True
57ee1fde,P1182,YS Chahal,True,True
2e8994e7,P0427,JP Duminy,True,True
3fb19989,P0589,MA Starc,True,True
26e5cabf,P0599,MK Tiwary,True,True
44afbf2d,P0708,Nic Maddinson,True,True
5d9a1a73,P0830,RG Sharma,True,False
3a60e0b5,P1163,WD Parnell,True,True
3edb58fc,P0022,AD Mascarenhas,True,True
69be866a,P0118,Anmolpreet Singh,True,False
ea0cdc12,P0166,BAW Mendis,True,True
6ef60d3a,P0093,Aman Khan,True,False
de8d3876,P0582,M Rawat,True,False
25eeb281,P0757,PC Valthaty,True,False
872b03f7,P0002,Ayush Badoni,True,False
cf0ccafa,P0584,M Siddharth,True,False
d9273ee7,P0605,MP Stoinis,True,True
3d8feaf8,P0606,MR Marsh,True,True
d1a60072,P0707,N Wadhera,True,False
b5797845,P0812,Priyansh Arya,True,False
df064e1a,P0878,Ravi Bishnoi,True,True
1abb78f8,P0936,SN Thakur,True,True
970ddd24,P1068,Suryansh Shedge,True,False
dd09ff8e,P0160,B Lee,True,True
d2a6c0e6,P0326,EJG Morgan,True,True
85aae393,P0400,Iqbal Abdulla,True,False
86dc8f2e,P0422,JH Kallis,True,True
99d63244,P0500,KM Jadhav,True,True
5afd4539,P0607,MS Bisla,True,False
7dc35884,P1002,Shakib Al Hasan,True,True
73ad96ed,P0260,DJ Hooda,True,True
944533a5,P0497,KK Nair,True,False
b552a935,P0021,AC Thomas,True,False
896d78ad,P0023,AD Mathews,True,True
91ffa6c6,P0418,JD Ryder,True,True
93b4fc78,P0598,MK Pandey,True,True
bff458c6,P0013,AA Bilakhia,True,False
2b6e6dec,P0020,AC Gilchrist,True,True
d7c6af50,P0265,DL Vettori,True,True
e1d1b294,P0367,HH Gibbs,True,True
aaa1b522,P1083,TL Suman,True,False
14f96089,P0012,A Zampa,True,True
bcf325d2,P0302,Dhruv Jurel,True,True
0f721006,P0426,Jason Holder,True,True
030f3089,P0620,Mangesh Yadav,True,False
6c19c6e5,P1180,YBK Jaiswal,True,True
b17e2f24,P0499,KL Rahul,True,True
c33d8116,P0682,Mohsin Khan,True,False
0a8fce53,P0700,Mustafizur Rahman,True,True
4b31f3a3,P1187,Yash Thakur,True,False
77b1aa15,P0387,Harshit Rana,True,True
ee1b6c27,P1079,T Thushara,True,True
be24ead0,P0870,Ramandeep Singh,True,True
1399b39c,P0118,Anmolpreet Singh,True,False
03806cf8,P0429,Josh Hazlewood,True,True
90de905a,P0482,K Gowtham,True,False
0c2730df,P0005,A Kumble,True,False
5451a2c1,P0158,B Chipli,True,False
8fd1a8f5,P0272,DW Steyn,True,True
f3cb53a1,P0610,MV Boucher,True,True
7eae4418,P0659,Misbah-ul-Haq,True,True
