year,player_id,player_name,team,final_price_lakh,log_price,ipl_war_lag1,ipl_war_lag2,ipl_war_lag3,ipl_career_war,ipl_seasons_played,ipl_matches_lag1,t20i_war_12m,t20i_war_24m,t20i_career_war,ipl_war_trend,ipl_war_avg_3y,is_indian,is_mega_auction,is_retained,role_batsman,role_bowler,role_allrounder,role_wk,nationality,role,status,next_season_war
2008,P0934,SM Katich,PBKS,,,,,,,,,2.041733870967742,2.0040947009272565,2.0040947009272565,,,0,1,1,0,0,0,0,,,RETAINED,3.4162458471760786
2008,P0938,SP Goswami,RCB,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-0.0028174603174608
2008,P0946,ST Jayasuriya,MI,,,,,,,,,1.8781390750902949,6.579748312626951,6.579748312626951,,,0,1,1,0,0,0,0,,,RETAINED,27.289922908683597
2008,P0953,Sachin Tendulkar,MI,125.0,4.8283137373023015,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P0968,Sanath Jayasuriya,MI,575.0,6.354370040797351,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P0986,Saurabh Tiwary,DCH,20.0,2.995732273553991,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P0992,Scott Styris,DCH,100.0,4.605170185988092,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P0998,Shahid Afridi,DCH,27.5,3.3141860046725258,,,,,,,16.983374854106565,18.92923995674586,18.92923995674586,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,8.687079611503247
2008,P1007,Shane Warne,RR,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P1008,Shane Watson,RR,62.5,4.135166556742356,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P1012,Shaun Marsh,PBKS,60.0,4.0943445622221,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P1013,Shaun Pollock,MI,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P1019,Shikhar Dhawan,DC,200.0,5.298317366548036,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P1028,Shoaib Malik,DC,125.0,4.8283137373023015,,,,,,,8.85827782961929,8.887310087683806,8.887310087683806,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,0.3396373229746938
2008,P1045,Simon Katich,DCH,75.0,4.31748811353631,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P1046,Sohail Tanvir,RR,50.0,3.912023005428146,,,,,,,6.833887443033786,,6.833887443033786,,,0,1,0,0,1,0,0,Overseas,Bowler,SOLD,14.66085676005708
2008,P1047,Sourav Ganguly,KKR,125.0,4.8283137373023015,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P1051,Stephen Fleming,CSK,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P1056,Subramaniam Badrinath,CSK,40.0,3.6888794541139363,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P1066,Suresh Raina,CSK,125.0,4.8283137373023015,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P1086,TM Srivastava,PBKS,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-0.1921880767811001
2008,P1099,Tillakaratne Dilshan,DC,40.0,3.6888794541139363,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P1125,VRV Singh,PBKS,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,0.8911752004797628
2008,P1126,VVS Laxman,DCH,125.0,4.8283137373023015,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,3.3996797711332594
2008,P1127,VY Mahesh,DC,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-0.5494806289913088
2008,P1119,Virat Kohli,RCB,30.0,3.4011973816621555,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P1153,Virender Sehwag,DC,125.0,4.8283137373023015,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P1161,W Jaffer,RCB,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,1.2609311554078992
2008,P1162,WA Mota,PBKS,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-0.948002856641533
