ipl_name,cricsheet_id
Shakib Al Hasan,7dc35884
DJ Hooda,73ad96ed
J Theron,dec8e038
KK Nair,944533a5
AC Thomas,b552a935
AD Mathews,896d78ad
Asad Rauf,861606b7
JD Ryder,91ffa6c6
MK Pandey,93b4fc78
S Dua,f1375866
AA Bilakhia,bff458c6
AC Gilchrist,2b6e6dec
DL Vettori,d7c6af50
DP Nannes,c404f58a
FH Edwards,a7c226e1
HH Gibbs,e1d1b294
JD Cloete,b0419f8c
Shoaib Ahmed,8a668774
TL Suman,aaa1b522
A Totre,b1d7d7bc
A Zampa,14f96089
Dhruv Jurel,bcf325d2
JO Holder,0f721006
K Yadav,030f3089
Mohamad Rafi,0479de6b
YBK Jaiswal,6c19c6e5
KL Rahul,b17e2f24
MJ Henry,e84ac20c
Mohsin Khan,c33d8116
Mustafizur Rahman,0a8fce53
Sanjay Verma,bc19a37f
Yash Thakur,4b31f3a3
GS Sandhu,1558d83b
RM Deshpande,7d2a4250
A Kamboj,fcc21ace
DS Manohar,b35f3ac8
Harshit Rana,77b1aa15
N Thushara,ee1b6c27
Ramandeep Singh,be24ead0
AF Milne,350bb1b1
AY Dandekar,2efc430e
Anmolpreet Singh,1399b39c
JR Hazlewood,03806cf8
K Gowtham,90de905a
A Kumble,0c2730df
AS Yadav,b9be6507
B Chipli,5451a2c1
BR Doctrove,cbebf805
DP Vijaykumar,acd4f5dc
DW Steyn,8fd1a8f5
MV Boucher,f3cb53a1
Misbah-ul-Haq,7eae4418
P Kumar,e938e1bc
SB Styris,57efa3be
SL Shastri,53ef012d
Shahid Afridi,0dc00542
Talat Ali,1df4131e
VVS Laxman,de8cce37
W Jaffer,619aa81f
RE van der Merwe,05c2ca46
S Anirudha,95a2ea61
A Ashish Reddy,1c2a64cd
A Deshmukh,6fda55cc
BB Sran,d8b2f218
Bipul Sharma,c18496e1
MJ Guptill,2be41edb
AJ Tye,7c7d63a2
D Pretorius,11614d87
E Lewis,0ebfb1ad
Mukesh Choudhary,765a4731
PVD Chameera,327b58d3
A Nand Kishore,84424f4f
AJ Turner,ff1e12a0
BA Stokes,e087956b
CH Morris,fb66ce1f
JC Archer,5574750c
K Srinath,8ab5da97
S Gopal,7a8bd078
CA Lynn,45eda7c8
CA Pujara,d4f9dbd4
GJ Bailey,5056011d
MG Johnson,f5180fe6
R Dhawan,26a85969
C de Grandhomme,94d7f855
M Markande,a9fd84fb
Navdeep Saini,21d4e29b
A Choudhary,18e6906e
CJ Jordan,ffe699c0
Mandeep Singh,c3a96caf
N Pandit,4947c258
NJ Llong,573fb985
S Aravind,957532de
Sachin Baby,dc9dd038
Fazalhaq Farooqi,e9c7f0d0
NT Ellis,9eb1455b
PK Garg,bb965e9a
PN Mankad,663b5e34
AS Rajpoot,db31895a
Azhar Mahmood,9a158001
DJ Hussey,fd835ab3
Gurkeerat Singh,6eb146d2
P Awana,1a0c3177
R Sathish,626c5379
RJ Harris,12eddf28
KL Nagarkoti,b4f5c2d9
Kartik Tyagi,5d2eea49
Shivam Mavi,c38d3503
A Kripal Singh,8f559207
Arshad Khan,12314277
Ashwani Kumar,d45c29b1
C Bosch,172dff15
G Coetzee,3204c99f
KM Gandhi,a9421c64
KV Sharma,119678fd
M Krishnadas,e298c588
WG Jacks,9caf69a1
Mohammad Nabi,62af8546
S Kaul,dcf81436
RR Rossouw,cad00a4d
SN Khan,f088b960
DH Yagnik,063b3673
Harpreet Singh,28c78fb3
J Botha,7c503806
JE Taylor,4180d897
NL McCullum,5673a3fc
R Subramanian,7c32b886
SJA Taufel,4b43d5ac
AA Jhunjhunwala,2815fe50
DE Bollinger,45c2196c
MJ Lumb,11df3dc8
S Narwal,287686fd
SB Wagh,dddca1d6
AU Rashid,249d60c9
GD Phillips,9a46c4e5
HC Brook,4ae1755b
KM Asif,798cc28e
NA Saini,21d4e29b
R Pandit,8a604384
Lalit Yadav,ad427b5c
S Lamichhane,b410bd3d
SW Billings,c16d4035
V Shankar,0994d0ae
Ashok Sharma,50c09020
D Ferreira,f0af99a7
Kumar Kushagra,57ca01b3
N Burger,465aa633
V Suryavanshi,470f446b
M Kuppuraj,aa4063d0
Noor Ahmad,efc04be7
Abishek Porel,ad3b6e95
KK Ahmed,a2f46292
Mukesh Kumar,2cffab74
R Ravindra,ba5e1069
Sameer Rizvi,f89d3b11
T Stubbs,85b3fab2
VM Dhokre,67df71c9
BB Samantray,53f27a35
CL White,d0513f63
DJ Harris,39f82db3
MJ Clarke,f842c2cf
MN Samuels,f846de6a
V Pratap Singh,d718440b
AN Ahmed,2af1b6d2
DB Das,7050a1e7
R McLaren,c654af19
SR Tendulkar,d2c2b2d5
A Symonds,bd77eb62
B Sumanth,f4f0fafd
Harmeet Singh,2a72fd4f
MD Mishra,6afb26d6
PD Collingwood,a386e91b
S Venkataraghavan,12453319
WPUJC Vaas,bcce309e
CK Kapugedera,cfad138c
DJ Thornely,7d3937ed
RR Raje,5f4e9e8f
S Vidyut,756389bd
SP Fleming,eea6b7f1
YV Takawale,4e04666c
CJ Ferguson,9b4935c8
RN ten Doeschate,4ec07775
SP Goswami,541f85c9
AJ Finch,b8d490fd
JPR Scantlebury-Searles,99ed60f8
Kuldeep Yadav,8d2c70ad
J Little,9061a703
Aman Hakim Khan,378daa89
DT Christian,2a2e6343
KB Arun Karthik,7daedf2f
RT Ponting,7d415ea5
B Laughlin,b2a79f17
P Suyal,cedc1d9a
RK Bhui,b63e358a
Sumit Kumar,8998a68f
MS Wade,afa7e784
OC McCoy,529eb9e0
AD Nath,f10e94c4
Chinmay Sharma,83250fea
HM Amla,e798611a
KC Cariappa,edb3d4f8
NB Singh,b822e99c
SS Agarwal,b51f72a5
DJG Sammy,c03c6200
AP Tare,855a210c
NS Naik,aedc3b7c
MK Lomror,da934ee8
PWH de Silva,a97c8ec2
Karanveer Singh,1647bd37
DJ Willey,7f048519
DR Shorey,faa7365d
A Raghuvanshi,d7017798
AS Roy,e4cdf230
Bhavesh Patel,ee03dc30
IR Siddiqui,6436f803
R Powell,650d5e49
Rahmanullah Gurbaz,0bacade8
V Nigam,5ffc0565
CJ Green,19b9f399
KW Richardson,dfc4d8b5
KK Cooper,557153ca
PK Khakhar,b7cad41f
DC Boon,e79a1fe3
JM Kemp,6581d753
K Hariharan,2386ccff
M Kaif,d84378a4
SJ Srivastava,2049f3a0
Sunny Singh,30e37810
BA Bhatt,dc4686e6
Raju Mukherjee,7a3244b5
CR Woakes,4c5d73db
S Badree,76388dc8
SP Jackson,acc1aeda
RS Sodhi,a3ecf01f
CJ Anderson,8abdf100
Amit Sharma,7ea3e0cc
DB Ravi Teja,b720a5d6
IR Jaggi,dded65e7
B Aparajith,5b627626
GH Vihari,94253925
RG More,b2b23612
RR Jadeja,053de19b
Imran Tahir,acee4cc4
TP Sudhindra,2f3817ce
AS Pathania,bf6c251d
S Ladda,fb693839
SMSM Senanayake,4c4fa80b
B Akhil,af7dadf7
S Chanderpaul,881a9bdd
SB Joshi,670709ec
SJ Davis,bc71b0b2
SN Bandekar,350528bb
HAS Khalid,291ded7c
AL Hill,4165ced0
AB Barath,d3a3e82d
Anirudh Singh,7bb62642
Jaskaran Singh,d7b3a420
AG Murtaza,ef5da05c
LJ Wright,cca50cd6
R Rampaul,d68e7f48
JR Philippe,39086549
SS Cottrell,a1d053dd
GB Hogg,f708a0bc
C Munro,af2c687b
CR Brathwaite,e342e5fb
JW Hastings,012829ff
Mohammad Hafeez,9ab63e7b
Anuj Rawat,c8f5f961
Chirra Ravikanthreddy,8b680f55
SS Prabhudessai,9385de2e
A Mithun,66cf56a5
KP Appanna,d92e42f5
Mohammad Asif,e03b66ec
Sohail Tanvir,64d43928
VY Mahesh,93a17209
DM Bravo,14b14cd8
M Klinger,b970a03f
I Udana,ac5ae4af
JL Pattinson,f752db61
M de Lange,d4eef961
KA Jamieson,68c56d09
KS Bharat,44a89551
Gulbadin Naib,9f77963a
J Fraser-McGurk,9b6e1b3f
SB Dubey,6b2ff18f
SD Hope,1fc6ef83
ER Dwivedi,b274dbbd
R Shukla,de4b0555
TK Curran,e86754b2
P Joshi,ffc0e370
RA Bawa,ba6b2f91
Zeeshan Ansari,36619795
S Sohal,3fca55af
IL Howell,c1cd91c3
Salman Butt,4d6d6280
T Taibu,75de770f
Umar Gul,16dfcc19
AN Ghosh,7023d182
Yashpal Sharma,e22d7ccb
Akash Madhwal,4bd09374
C Green,eaa76d3c
JP Behrendorff,4933f499
Vishnu Vinod,0494fa6e
C Sakariya,2cdce1be
JA Richardson,1ee08e9a
UT Khawaja,331ea488
LPC Silva,1be70c88
C Connolly,fe366f34
Vijaykumar Vyshak,54e52590
XC Bartlett,3b53243a
S Chaturvedi,c8ec02e1
Virat Singh,26d76ad9
PBB Rajapaksa,6c882e9a
SS Raul,4cfdf1d0
GC Viljoen,a316d663
SD Lad,9601c534
A Mhatre,b2b4f545
JG Bethell,3c55c703
SK Rasheed,cbf58a86
S Kaushik,1da489ff
AD Hales,92aeac25
Akash Deep,0a67aec0
TL Seifert,4663bd23
HF Gurney,e412cb64
SC Kuggeleijn,fef92afc
DJM Short,1a156c88
PHKD Mendis,08548b13
AK Argal,0ee78cf3
J Overton,59559bc2
Arjun Tendulkar,44aac2f0
Naveen-ul-Haq,c0c411cb
Brijesh Sharma,133bbd61
Kartik Sharma,7b679de5
MW Short,a90e53ec
IS Sodhi,641ac5ff
JE Root,a343262c
Vivrant Sharma,1b7b0fa7
MW Brown,d83d7796
SD Fry,6b725ed1
Gagandeep Singh,890de8cb
I Shivram,85143097
MS Mahal,50a7e89b
RS Hangargekar,c3c92b42
Pankaj Singh,e32d22f6
MSS Ranawat,8048c698
NK Patel,a2870fb7
IJ Gould,a9dfdf6c
O Thomas,c6097d68
Y Prithvi Raj,cfa4bd2b
MA Wood,8d92a2c3
RB Richardson,410e2f12
JP Inglis,989889ff
MS Bhandage,e96801ea
TR Birt,d2d4bb0a
Sanvir Singh,b0f2baf4
V Viyaskanth,03a83c50
AP Dole,dbc50253
VM Bandiwadekar,e236db6b
Ankit Soni,f18ba07f
M Ntini,20a941bb
WA Mota,3dba85c2
AM Salvi,260fd380
I Malhotra,943fd425
N Saini,addbde6c
CM Gautam,30a2649b
FA Allen,b52ffbbd
D Salunkhe,0264c10e
AG Paunikar,3a02626a
A Chandila,99b202b3
K Santokie,531f0278
S Sandeep Warrier,cdc6bdba
B Geeves,50758325
DS Lehmann,53fe6ee4
NJ Rimmington,6042bf26
B Vij,470050ff
P Dogra,2728e7e9
X Thalaivan Sargunam,1763bc6c
Azmatullah Omarzai,8f6dd463
Swapnil Singh,983f2f61
CK Langeveldt,d1c94b25
CRD Fernando,342d8ade
BJ Rohrer,27af6414
DJ Muthuswami,2c76b512
Karim Janat,62175638
R Seth,540a44ba
Yudhvir Singh,4885bbe6
JEC Franklin,cf73ad76
Anand Rajan,d2340a43
MC Juneja,605b7efa
PA Reddy,2461eef2
Subroto Das,e66066be
AUK Pathan,3ae3f034
BJ Haddin,b0c772ee
J Syed Mohammad,c64c2443
RV Patel,60500956
Simarjeet Singh,30df8c66
Parvez Rasool,9170ff49
K Upadhyay,27e71d47
UA Birla,91b9300b
KT Maphaka,107c26fb
SZ Mulani,9d704f6f
CJ Dala,1cb14aa4
GHS Garton,be869ccf
KR Mayers,73c18486
DG Nalkande,cd8d2859
SA Abbott,1a2676c5
R Shankar,82f0b62e
SE Bond,4f629497
Kamran Akmal,ff077124
Younis Khan,33cb3411
MG Bracewell,e38bce7a
RJW Topley,8db7f47f
Anish Sahasrabudhe,2892df67
MD Choudhary,1c84109e
Prince Yadav,80b2fb19
Shivang Kumar,7b44eb3e
D Jansen,8dc152d1
BMAJ Mendis,9868bc75
LE Plunkett,9a963804
P Chopra,8ac93ca2
AP Majumdar,f4cb4f53
ZTA Ndamane,545cc6db
R Rajesh Kannan,c9062c3e
T Shamsi,a03bba42
RR Bose,21ac077a
TD Paine,5748e866
KMDN Kulasekara,469ea22b
PWA Mulder,c96f6ac5
BE Hendricks,b56dc5f7
Himmat Singh,ebcfef83
W O'Rourke,cb9b8664
B Indrajith,ff1e68fa
Abdur Razzak,888e32bf
DT Patil,f48cf4da
J Arunkumar,f663ef00
Abdul Basith,cc777ffa
SM Katich,fdedb37c
AC Voges,864c199e
K Sharma,661b0266
SD Chitnis,facb9086
AA Kazi,16605a1b
K Kelkar,1d88908d
A Uniyal,fdcb08c2
BKG Mendis,5d1e7582
RJ Gleeson,402f8494
RJ Peterson,26ff4c29
L Ablish,8b9704ae
AA Kulkarni,2d140b79
Atharva Taide,1ac746c8
Amit Rana,f5db088b
AC Blizzard,1efb8a28
AT Holdstock,6fa3258c
FH Allen,bf74b130
C Nanda,f24ca2ba
S George,6d9e5a54
UL Dubey,b2ef796b
BR Dunk,272d796e
B Stanlake,6834d1f2
MN van Wyk,710dd98c
S Randiv,f5f18a18
DNT Zoysa,e0351c86
H Das,0ed0cdbf
V Puthur,1e030637
Premdip Chatterjee,489fb760
D Kalyankrishna,94bc776b
