,Name,Role,Country,Status,Base_Price(Lakh),Final_Price(Lakh),Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Balls,Wkts,BBI,BBM,Econ,4w,5w
101,Sachin Baby,Batsman , India,SOLD,20,20,RCB,80,64,8,228,79,32.57,1113,25.1,0,7,128,46,33,0,176,7,2/4,2/4,7.77,0,0
102,Himanshu Rana,Batsman , India,UNSOLD,20,-,-,32,31,2,-,75*,-,576,-,0,6,79,17,8,0,-,-,-,-,-,-,-
103,Mustafizur Rahman,Bowler , Bangladesh,SOLD,100,100,RR,121,40,22,3264,21*,20.14,144,16.7,0,0,7,8,26,0,2706,162,5/22,5/22,7.23,3,1
104,Qais Ahmad,Bowler , Afghanistan,UNSOLD,50,-,-,67,32,8,1639,50*,21.28,291,17.8,0,1,24,23,23,0,1374,77,5/18,5/18,7.15,1,1
105,Piyush Chawla,Bowling Allrounder , India,SOLD,50,200,MI,249,140,45,6414,45*,24.48,1123,19.6,0,0,123,54,66,0,5154,262,4/17,4/17,7.46,3,0
106,Ish Sodhi,Bowler , New Zealand,UNSOLD,50,-,-,169,50,24,4582,51,24.37,252,18.6,0,1,18,12,29,0,3497,188,6/11,6/11,7.86,3,1
107,Rahul Sharma,Bowler , India,UNSOLD,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,Adil Rashid,Bowler , England,UNSOLD,100,-,-,180,89,34,4553,36*,22.53,662,18.2,0,0,49,11,49,0,3681,202,4/19,4/19,7.42,5,0
109,Sheldon Cottrell,Bowler , West Indies,UNSOLD,100,-,-,104,34,12,2775,26*,20.55,144,16.2,0,0,11,10,47,0,2198,135,4/20,4/20,7.57,2,0
110,Jhye Richardson,Bowling Allrounder , Australia,SOLD,100,1400,PBKS,67,34,20,1922,33*,23.43,200,17.7,0,0,18,12,23,0,1455,82,4/19,4/19,7.92,3,0
111,Umesh Yadav,Bowler , India,SOLD,100,100,DC,148,49,27,4278,26,28.90,167,20.7,0,0,16,11,38,0,3068,148,5/18,5/18,8.36,2,1
112,Nathan Coulter-Nile,Bowler , Australia,SOLD,100,500,MI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
